1912 Presidential Election,,,,,,
Party,Pres. Cand.,VP Cand.,,,,
D,Woodrow Wilson,Thomas R. Marshall,,,,
P,Theodore Roosevelt,Hiram Johnson,,,,
R,William Taft,Nicholas M. Butler,,,,
S,Eugene V. Debs,Emil Seidel,,,,
State,Electoral votes,Wilson,Roosevelt,Taft,Debs,Total Votes
AL,12,82438,22680,9807,3029,117959
AZ,3,10324,6949,3021,3163,23722
AR,9,68814,21644,25585,8153,125104
CA*,13,283436|2,283610|11,3914|0,79201|0,677944
CO,6,114232,72306,58386,16418,266880
CT,7,74561,34129,68324,10056,190404
DE,3,22631,8886,15998,556,48694
FL,6,35343,4555,4279,4806,50837
GA,14,93087,21985,5191,1058,121470
ID,4,33921,25527,32810,11960,105754
IL,29,405048,386478,253593,81278,1146173
IN,15,281890,162007,151267,36931,654474
IA,13,185325,161819,119805,16967,492356
KS,10,143663,120210,74845,26779,365560
KY,13,219484,101766,115510,11646,452714
LA,10,60871,9283,3833,5261,79248
ME,6,51113,48495,26545,2541,129640
MD,8,112674,57789,54956,3996,231981
MA,18,173408,142228,155948,12616,488057
MI,15,150751,214584,152244,23211,550976
MN,12,106426,125856,64334,27505,334219
MS,10,57324,3549,1560,2050,64483
MO,18,330746,124375,207821,28466,698566
MT,4,27941,22456,18512,10885,79826
NE,8,109008,72681,54226,10185,249483
NV,3,7986,5620,3196,3313,20115
NH,4,34724,17794,32927,1981,87961
NJ,14,178289,145410,88835,15948,432739
NM,3,20437,8347,17733,2859,49376
NY,45,655573,390093,455487,63434,1588315
NC,12,144407,69135,29129,987,243776
ND,5,29555,25726,23090,6966,86580
OH,24,424834,229807,278168,90144,1037094
OK,10,119156,0,90786,41674,253801
OR,5,47064,37600,34673,13343,137040
PA,38,395637,444894,273360,83614,1217736
RI,5,30412,16878,27703,2049,77894
SC,9,48357,1293,536,164,50405
SD,5,48942,58811,0,4662,116325
TN,12,133021,54041,60475,3564,251933
TX,20,221589,28853,26755,25743,305120
UT,4,36579,24174,42100,9023,112386
VT,4,15354,22132,23332,928,62841
VA,12,90332,21776,23288,820,136975
WA,7,86840,113698,70445,40134,322799
WV,8,113197,79112,56754,15248,268828
WI,13,164230,62448,130596,33476,399975
WY,3,15310,9232,14560,2760,42296
Totals,531,6296284,4122721,3486242,901551,15048834
