1924 Presidential Election,,,,,
Party,Pres. Cand.,VP Cand.,,,
D,Calvin Coolidge,Charles G. Dawes,,,
R,John W. Davis,Charles W. Bryan,,,
P,Robert M. La Follette,Burton K. Wheeler,,,
State,Electoral votes,Coolidge,Davis,La Follette,Total Votes
AL,12,45005,112966,8084,166593
AZ,3,30516,26235,17210,73961
AR,9,40564,84795,13173,138532
CA,13,733250,105514,424649,1281900
CO,6,195171,75238,69945,342260
CT,7,246322,110184,42416,400295
DE,3,52441,33445,4979,90885
FL,6,30633,62083,8625,109154
GA,14,30300,123200,12691,166577
ID,4,69879,24256,54160,148295
IL,29,1453321,576975,432027,2470067
IN,15,703042,492245,71700,1272390
IA,13,537635,162600,272243,976960
KS,10,407671,156319,98461,662454
KY,13,398966,374855,38465,815332
LA,10,24670,93218,0,121951
ME,6,138440,41964,11382,192192
MD,8,162414,148072,47157,358630
MA,18,703476,280831,141225,1129837
MI,15,874631,152359,122014,1160419
MN,12,420759,55913,339192,822146
MS,10,8494,100474,3494,112462
MO,18,648486,572753,84160,1307958
MT,4,74138,33805,66123,174423
NE,8,218585,137289,106701,464173
NV,3,11243,5909,9769,26921
NH,4,98575,57201,8993,164769
NJ,14,675162,297743,108901,1086079
NM,3,54745,48542,9543,112830
NY,45,1820058,950796,474913,3263939
NC,12,191753,284270,6651,482687
ND,5,94931,13858,89922,199081
OH,24,1176130,477888,357948,2016237
OK,10,226242,255798,46375,528415
OR,5,142579,67589,68403,279488
PA,38,1401481,409192,307567,2144850
RI,5,125286,76606,7628,210115
SC,9,1123,49008,620,50752
SD,5,101299,27214,75355,203868
TN,12,130882,158537,10656,300275
TX,20,130023,484605,42881,657509
UT,4,77327,47001,32662,156990
VT,4,80498,16124,5964,102917
VA,12,73312,139716,10377,223602
WA,7,220224,42842,150727,421549
WV,8,288635,257232,36723,583662
WI,13,311614,68115,453678,840826
WY,3,41858,12868,25174,79900
Totals,531,15723789,8386242,4831706,29097107
