Party,Pres. Cand.,VP Cand.,,
D,Barack Obama,Joe Biden,,
R,John McCain,Sarah Palin,,
State,Electoral votes,Obama / Biden,McCain / Palin,Total Votes
AL,9,813479,1266546,2099819
AK,3,123594,193841,326197
AZ,10,1034707,1230111,2293475
AR,6,422310,638017,1086617
CA,55,8274473,5011781,13464495
CO,9,1288576,1073589,2401361
CT,7,997763,629428,1646783
DE,3,255459,152374,412412
DC,3,245800,17367,265853
FL,27,4282074,4045624,8390744
GA,15,1844137,2048744,3921693
HI,4,325871,120566,453568
ID,4,236440,403012,655032
IL,21,3419673,2031527,5513635
IN,11,1374039,1345648,2751054
IA,7,828940,682379,1530386
KS,6,514765,699655,1235801
KY,8,751985,1048462,1826620
LA,9,782989,1148275,1960761
ME,4,421923,295273,731163
MD,10,1629467,959862,2622549
MA,12,1904097,1108854,3080985
MI,17,2872579,2048639,5001766
MN,10,1573354,1275409,2900873
MS,6,554662,724597,1289865
MO,11,1441911,1445814,2925205
MT,3,231667,242763,490109
NE*,5,333319|1,452979|4,798444
NV,5,533736,412827,961581
NH,4,384826,316534,707611
NJ,15,2215422,1613207,3868237
NM,5,472422,346832,830158
NY,31,4610809,2409077,7590551
NC,15,2142651,2128474,4296847
ND,3,141278,168601,316621
OH,20,2933388,2674491,5697927
OK,7,502496,960165,1462661
OR,7,1037291,738475,1814251
PA,21,3276363,2651812,5992384
RI,4,296571,165391,471766
SC,8,862449,1034896,1920969
SD,3,170924,203054,381975
TN,11,1087437,1479178,2599749
TX,34,3528633,4479328,8077795
UT,5,327670,596030,942678
VT,3,219262,98974,325046
VA,13,1959532,1725005,3716905
WA,11,1750848,1229216,3036878
WV,5,303857,397466,713451
WI,10,1677211,1262393,2976356
WY,3,82868,164958,253137
Totals,538,69297997,59597520,131032799
