2012 Presidential Election,,,,
Party,Pres. Cand.,VP Cand.,,
D,Barack Obama,Joe Biden,,
R,Mitt Romney,Paul Ryan,,
State,Electoral votes,Obama,Romney,Total Votes
AL,9,795696,1255925,2074338
AK,3,122640,164676,297625
AZ,11,1025232,1233654,2299254
AR,6,394409,647744,1069468
CA,55,7854285,4839958,13038547
CO,9,1322998,1185050,2569217
CT,7,905083,634892,1558960
DE,3,242584,165484,413921
DC,3,267070,21381,293764
FL,29,4237756,4163447,8474179
GA,16,1773827,2078688,3897839
HI,4,306658,121015,434697
ID,4,212787,420911,652274
IL,20,3019512,2135216,5241179
IN,11,1152887,1420543,2624534
IA,6,822544,730617,1574738
KS,6,440726,692634,1158833
KY,8,679370,1087190,1797212
LA,8,809141,1152262,1994065
ME,4,401306,292276,711053
MD,10,1677844,971869,2698539
MA,11,1921290,1188314,3161215
MI,16,2564569,2115256,4730961
MN,10,1546167,1320225,2926028
MS,6,562949,710746,1285584
MO,10,1223796,1482440,2757323
MT,3,201839,267928,483932
NE,5,302081,475064,790662
NV,6,531373,463567,1009148
NH,4,369561,329918,708399
NJ,14,2122786,1478088,3638499
NM,5,415335,335788,783757
NY,29,4018385,2145628,6652274
NC,15,2178391,2270395,4493920
ND,3,124966,188320,322932
OH,18,2827621,2661407,5580831
OK,7,443547,891325,1334872
OR,7,970488,754175,1775995
PA,20,2990274,2680434,5741490
RI,4,279677,157204,446049
SC,9,865941,1071645,1964118
SD,3,145039,210610,363815
TN,11,960709,1462330,2456838
TX,38,3308124,4569843,7993851
UT,6,251813,740600,1017008
VT,3,199239,92698,299290
VA,13,1971820,1822522,3847243
WA,12,1755396,1290670,3125516
WV,5,238230,417584,670556
WI,10,1620985,1407966,3071434
WY,3,69286,170962,249061
Totals,538,65446032,60589084,128556837
